rep,condition,step,rmse,distinct_items,reference,grad_steps,best_val_return
7,MFI,1,1.2565854497335267,201,0.21507836492977647,,
7,MFI,2,0.9272423908729239,201,0.21507836492977647,,
7,MFI,3,0.7675721862045459,201,0.21507836492977647,,
7,MFI,4,0.6821974299767793,201,0.21507836492977647,,
7,MFI,5,0.6240576857315513,201,0.21507836492977647,,
7,MFI,6,0.5668348469747772,201,0.21507836492977647,,
7,MFI,7,0.5213536851929705,201,0.21507836492977647,,
7,MFI,8,0.4839805956238257,201,0.21507836492977647,,
7,MFI,9,0.4552584067309057,201,0.21507836492977647,,
7,MFI,10,0.4347379627113187,201,0.21507836492977647,,
7,MFI,11,0.41167014532496476,201,0.21507836492977647,,
7,MFI,12,0.3923902180661028,201,0.21507836492977647,,
7,MFI,13,0.37866679232026657,201,0.21507836492977647,,
7,MFI,14,0.3659676058217324,201,0.21507836492977647,,
7,MFI,15,0.35315859346760026,201,0.21507836492977647,,
7,MFI,16,0.34014982901205293,201,0.21507836492977647,,
7,MFI,17,0.3307242760044033,201,0.21507836492977647,,
7,MFI,18,0.3220442895749717,201,0.21507836492977647,,
7,MFI,19,0.312823394950206,201,0.21507836492977647,,
7,MFI,20,0.3041823948220705,201,0.21507836492977647,,
7,MFI,21,0.2990528901550692,201,0.21507836492977647,,
7,MFI,22,0.29081636806804195,201,0.21507836492977647,,
7,MFI,23,0.28640606343570296,201,0.21507836492977647,,
7,MFI,24,0.28058543412599707,201,0.21507836492977647,,
7,MFI,25,0.2749733728536426,201,0.21507836492977647,,
7,MFI,26,0.2690978187174923,201,0.21507836492977647,,
7,MFI,27,0.26242195225073717,201,0.21507836492977647,,
7,MFI,28,0.26027965363188466,201,0.21507836492977647,,
7,MFI,29,0.25608740405188996,201,0.21507836492977647,,
7,MFI,30,0.25156986959623334,201,0.21507836492977647,,
7,MFI,31,0.24642015009109983,201,0.21507836492977647,,
7,MFI,32,0.244900745527587,201,0.21507836492977647,,
7,MFI,33,0.2404668932693361,201,0.21507836492977647,,
7,MFI,34,0.2379488875088178,201,0.21507836492977647,,
7,MFI,35,0.2352550158054312,201,0.21507836492977647,,
7,MFI,36,0.23257820389146094,201,0.21507836492977647,,
7,MFI,37,0.23021537044099635,201,0.21507836492977647,,
7,MFI,38,0.22741033517827616,201,0.21507836492977647,,
7,MFI,39,0.22465161451805157,201,0.21507836492977647,,
7,MFI,40,0.22251198582585047,201,0.21507836492977647,,
7,FIWL,1,1.4318704142415413,194,0.21507836492977647,,
7,FIWL,2,0.918155285686886,194,0.21507836492977647,,
