condition,step,rmse_mean,rmse_sd,rmse_min,rmse_max,distinct_items_mean,n_rep
FIWL,1,1.3872049090674283,0.012739389271383916,1.3727727361156263,1.3968860162176453,191.0,3
FIWL,2,0.9364118230345125,0.020751436173907893,0.9164950450723488,0.9579076974428516,191.0,3
FIWL,3,0.8054828180574246,0.009050108751420486,0.7950588865467224,0.8113356483130242,191.0,3
FIWL,4,0.7186272009252147,0.002504505920542622,0.7157741240219748,0.7204630241727684,191.0,3
FIWL,5,0.6375997951923394,0.002475451392048901,0.6349668835327168,0.639879937557734,191.0,3
FIWL,6,0.5777180905220018,0.011349825221243547,0.5709466404907199,0.5908212807888369,191.0,3
FIWL,7,0.5314513670475693,0.010175950311354175,0.52045147100664,0.540529258619253,191.0,3
FIWL,8,0.4893690909209892,0.008976698489127242,0.4833632643562056,0.4996883319174739,191.0,3
FIWL,9,0.45390872768164564,0.009295545269616037,0.446739581893786,0.4644113691907159,191.0,3
FIWL,10,0.42716530949537007,0.011186087306893546,0.4170063881922914,0.4391531554651901,191.0,3
FIWL,11,0.4064401971881298,0.011009747329750352,0.3954469818286356,0.4174664023495911,191.0,3
FIWL,12,0.38931129533650116,0.007079455542497648,0.3813415772704195,0.3948713960140461,191.0,3
FIWL,13,0.37324518430927006,0.006520668690432832,0.3669573211727089,0.3799760648669144,191.0,3
FIWL,14,0.3595270801248713,0.006594566901497827,0.3520187865858777,0.3643800711588393,191.0,3
FIWL,15,0.34817067497601784,0.007152877299257254,0.3399472704570276,0.3529497356444788,191.0,3
FIWL,16,0.33663021399270393,0.00700450656875628,0.3285422711403375,0.3407188797629567,191.0,3
FIWL,17,0.32571480201597375,0.0069166057835028435,0.317798326103872,0.3305876395643157,191.0,3
FIWL,18,0.31793042411083244,0.006884060597731584,0.3099910580004612,0.3222394294867644,191.0,3
FIWL,19,0.30788345108415516,0.006707010397088037,0.3001521690702565,0.3121420899063941,191.0,3
