method,step,a_mean,b_mean,abs_b_minus_theta_mean,slope_b_on_prev,fi_true_mean,p_correct,rmse_post,extreme_frac,extreme_share_of_sq_error
MEPV,1,1.8712926887394492,-0.4007158427283468,0.8493877390954899,4.126268875277543e-16,0.5325245849268306,0.6215,1.2691485874332142,0.0,0.0
MEPV,2,2.012743747607327,0.27272827372618785,0.7886843596159836,0.7295978864939613,0.6050725144704034,0.4125,0.9504933177006981,1.0,1.0
MEPV,3,1.7450456288635339,0.009363824230781978,0.5846415393665518,0.6470046122599318,0.5772342889580908,0.514,0.7840507034966866,0.316,0.5522845629547699
MEPV,4,1.7304138742260844,-0.057145085098862645,0.5112842793064922,0.5626907891631125,0.5999861507173789,0.534,0.6786723495333455,0.125,0.2925805391356213
MEPV,5,1.6971329001723527,-0.02435205398795193,0.4920439491194436,0.7817021096599286,0.5872669675735153,0.5245,0.5981627105226949,0.0645,0.1752107258044912
MEPV,6,1.6912206700887038,0.05351116377449813,0.45829352822220765,0.7219695641465245,0.5944680560477571,0.49,0.5459307833178644,0.038,0.1038213233533989
MEPV,7,1.6720973456023307,-0.0020266330009801534,0.44577872258240153,0.7642689092098902,0.5858405468157702,0.497,0.5065998098034894,0.0215,0.05982273558939483
MEPV,8,1.6503957514994483,-0.025019321514200114,0.4110723298451253,0.7689773418518605,0.586474363766955,0.515,0.4713148600862728,0.0115,0.0389164632109737
MEPV,9,1.6356759326083083,0.017312514151199974,0.38871358795643096,0.8089555269431148,0.5847400797226471,0.489,0.4490214896843905,0.0055,0.03372643032603594
MEPV,10,1.6243871745319711,0.004127348392912847,0.38744679968033824,0.7791511234797871,0.5782405797901954,0.4955,0.4255137566913352,0.002,0.008564939951307854
MEPV,11,1.6176592734604678,-0.004747225781497364,0.3775743422983811,0.7906374274383051,0.577116612906437,0.5235,0.40389586095652497,0.001,0.0064329190093659885
MEPV,12,1.6070045012907135,0.02591767772704717,0.3665599043778484,0.8189900667334754,0.5738149332795915,0.485,0.3862586916557272,0.0005,0.010256930132759332
MEPV,13,1.5953349493127285,0.018320387915071384,0.36211889623492677,0.7982635253944188,0.5687830317919431,0.511,0.37153893959554857,0.0,0.0
MEPV,14,1.589920622917382,0.02550566717221799,0.3639660385016981,0.7919976490134406,0.5630118982096572,0.478,0.3578039711993184,0.0,0.0
MEPV,15,1.5809372286682675,0.005683200890672556,0.3673916440056073,0.8132395241949053,0.5580429250919634,0.511,0.3511664158595006,0.0,0.0
MEPV,16,1.5708681585103146,0.01764050957661544,0.3695268025939752,0.813749108145587,0.5506354749217289,0.518,0.3423567288999915,0.0,0.0
MEPV,17,1.5646598705093524,0.026697609710316747,0.36705358470699073,0.811404164592097,0.5469382222576429,0.4925,0.33196299336175067,0.0,0.0
MEPV,18,1.5572801729076302,0.019320482053544304,0.36648615758780156,0.8065781020207955,0.5432325078519126,0.502,0.32182171472927146,0.0,0.0
MEPV,19,1.5486161456242944,0.02255956351324533,0.36247471464355574,0.8011127886372571,0.5384742039291912,0.4995,0.31215683031728786,0.0,0.0
MEPV,20,1.5422992149920751,0.013642394176726264,0.3605081533693841,0.8039084338769136,0.5349996650984681,0.499,0.3024852402924444,0.0,0.0
MEPV,21,1.5339887274066781,0.010604232445060464,0.35006053818347965,0.7982077678156848,0.5318866707174722,0.5035,0.29511253576106716,0.0,0.0
MEPV,22,1.5324348270761279,0.011484299345804597,0.3639549231430614,0.7920444071459652,0.5279442751232898,0.49,0.28886917831446973,0.0,0.0
MEPV,23,1.5206268806977787,0.011162005103050881,0.3477190953229618,0.8135815286903991,0.5243636097235717,0.518,0.28220681060478126,0.0,0.0
MEPV,24,1.517401775259093,0.013049204666868375,0.3506414558550613,0.7885553550096733,0.522034216854232,0.5095,0.2768047929994537,0.0,0.0
MEPV,25,1.5166203861390566,0.021598946101157056,0.3662719794661392,0.7867097361396951,0.5168929953474678,0.504,0.273361822057788,0.0,0.0
MEPV,26,1.5094986548427363,0.015240259998392361,0.36906786538539826,0.7886778469254153,0.5115938042658089,0.486,0.2684205068841516,0.0,0.0
MEPV,27,1.5064602662966906,0.02039085549455391,0.37202854169336,0.7845105515734422,0.5091355861574358,0.503,0.26343389791125127,0.0,0.0
MEPV,28,1.501397535986407,0.013647817353564467,0.37295407574744827,0.7930152757417356,0.5056574925877263,0.5145,0.2602824121805252,0.0,0.0
MEPV,29,1.4962862508244184,0.022528188460950723,0.3797148419520785,0.7898713347314246,0.500827074565919,0.4985,0.2560957227710087,0.0,0.0
MEPV,30,1.49004404538806,0.02763846129561697,0.36973977513034345,0.7799230199161721,0.4989373114155948,0.472,0.2528142756121538,0.0,0.0
MEPV,31,1.48456549270623,0.012378563550827441,0.3759020245546165,0.7865163981195923,0.4947241214511472,0.497,0.24825495460380928,0.0,0.0
MEPV,32,1.4850740291251268,0.022509663653761194,0.3910845690709692,0.7679780206374496,0.4927716361080079,0.5095,0.24429509779481046,0.0,0.0
MEPV,33,1.4836254256141879,0.013040393824909775,0.3999299201625374,0.7519383703164684,0.4893799812843893,0.5045,0.2413498892007016,0.0,0.0
MEPV,34,1.4820766184848417,0.027492755023784184,0.4066257087461746,0.7506382414161011,0.48552788123121776,0.5,0.23747181216359448,0.0,0.0
MEPV,35,1.476898349965135,0.02353950889331652,0.4050761159785351,0.756691801532958,0.4839828725345541,0.5,0.23506417777194868,0.0,0.0
MEPV,36,1.4728473505278759,0.013260424685396238,0.4062922244423804,0.7599026712503761,0.48106844254120995,0.493,0.2325265345233874,0.0,0.0
MEPV,37,1.465015614509193,0.02197786142940806,0.405186329220426,0.7646296558050409,0.4760382365623476,0.5135,0.22980494493345435,0.0,0.0
MEPV,38,1.466441811560275,0.008415329285575436,0.41724580411201057,0.7473462546943951,0.4739990881402409,0.5165,0.2267718471305651,0.0,0.0
MEPV,39,1.4625173333889039,0.02455909113754539,0.41607630132124485,0.7516818387776353,0.471951547621737,0.501,0.22380987526635832,0.0,0.0
MEPV,40,1.456482512986833,0.018341536444577713,0.41220736826500814,0.7505908445378145,0.4688248399425064,0.5025,0.220889195591024,0.0,0.0
MFI,1,1.7987122916900522,-0.11419383017532952,0.8381683706692543,1.0343724195490918,0.504310631426277,0.5395,1.2442616864498905,0.0,0.0
MFI,2,1.9576305743753872,0.14663083803316407,0.8598030372914618,0.8062889388759954,0.555330850160664,0.46,0.9484527822855846,1.0,1.0
MFI,3,1.7780617311942088,0.06457953132726567,0.6536748451877609,0.7991489848787714,0.5665701068720659,0.5035,0.7768796107220506,0.2945,0.4961855163180019
MFI,4,1.704262334158771,0.0009021322180324934,0.6165095218073176,0.9642703469565953,0.5555440640164222,0.5265,0.692816271659582,0.093,0.24526438385239577
MFI,5,1.7032946382654972,0.04352528288055267,0.5355163519255559,0.8936364934350566,0.576743655351649,0.514,0.6219906750873652,0.022,0.07354956693604484
MFI,6,1.6734091859620752,0.05312328793897048,0.4900468272089741,0.9178262734249845,0.5759311537882686,0.483,0.5720437174466922,0.0095,0.03350371468837591
MFI,7,1.6621329183879934,0.02010344946905626,0.443444138691935,0.8711423395983697,0.5844304372217848,0.493,0.5314726648047189,0.0065,0.019375597682857862
MFI,8,1.6401014656505377,0.006861912611339106,0.42201086000183924,0.8789584409733846,0.5787733540055535,0.5,0.4994569842952255,0.004,0.01680237292550336
MFI,9,1.6278029805357517,0.0324604166129429,0.40438705473187736,0.8864869944619445,0.5768837938866598,0.4865,0.47864807436108703,0.0025,0.00886249521643588
MFI,10,1.6150076415657073,0.023337484378366836,0.3853685115568809,0.8606402101176938,0.574604815378862,0.4875,0.4511513890630652,0.001,0.0004010576984181096
MFI,11,1.6063345365912018,-0.003226995021414041,0.3741747775047587,0.8563650505380223,0.5735571231611566,0.5205,0.422553241305323,0.001,0.00045899315235546715
MFI,12,1.600481784998829,0.018968790540248172,0.35961395427809845,0.8466260496903136,0.5737226964582991,0.4865,0.4018240135267482,0.001,0.006325870173619553
MFI,13,1.5923216590387097,0.010172636378022007,0.3522996097335606,0.8362571428079159,0.5700376508264925,0.504,0.3836711360967604,0.0005,6.410047374920321e-05
MFI,14,1.5856243784250827,0.01199679745327309,0.3564414817561159,0.8373809247638376,0.5647038941438316,0.492,0.3670223666640695,0.0005,6.986572011195788e-05
MFI,15,1.5795300239564538,0.00800754558423547,0.3540977293904391,0.8298905419896438,0.5617649150774237,0.5075,0.3580362537545462,0.0005,7.332118835746835e-05
MFI,16,1.5692753562558044,0.0016535546569442906,0.35246331135030395,0.8264465931629807,0.5543918232680632,0.5225,0.34676210969586313,0.0005,7.811550473878069e-05
MFI,17,1.5636937096356929,0.024751224694807245,0.35920413361618125,0.8215192513456379,0.5490705384670812,0.495,0.3351311984465227,0.0005,8.360442586719419e-05
MFI,18,1.5553626287262827,0.010528798305190247,0.34665062770263694,0.8121204652264943,0.5468494930226394,0.5045,0.32503638163367615,0.0005,8.88636741932961e-05
MFI,19,1.5491847188794599,0.019079567710398836,0.3537259596365739,0.8117695138143655,0.5421073907629927,0.5055,0.3150481941659232,0.0005,9.457989714529981e-05
MFI,20,1.5421861034033004,0.01889751292280935,0.35404513370727214,0.8050388260682843,0.5378480673199029,0.4955,0.30437138818668674,0.0005,0.00010132753593712293
MFI,21,1.5349093860993162,0.012283514863929042,0.3419679819918834,0.8007576756128263,0.5348840858761927,0.506,0.2971324867988549,0.0005,0.00010632270295732966
MFI,22,1.5293677198560074,0.015448562014901782,0.3458231145872028,0.8054240843438346,0.5306108789183022,0.4845,0.28875067368005103,0.0005,0.00011258378573750424
MFI,23,1.5228930735187027,0.004117415299946003,0.3469052586063818,0.7936277836927778,0.5267660669488671,0.534,0.2816801663905091,0.0005,0.003151886278552644
MFI,24,1.5186027817951628,0.023771449385383468,0.34908689269749343,0.7899827290673569,0.5241734041510072,0.4935,0.27650690212347506,0.0,0.0
MFI,25,1.5150691902679996,0.020008740475641263,0.3573904647495147,0.7829656821696042,0.5190235774905987,0.5065,0.27177247145199224,0.0,0.0
MFI,26,1.5133947735297368,0.02066511980457683,0.3556632124715654,0.7762013521434985,0.5178837466778295,0.475,0.26603737160001417,0.0,0.0
MFI,27,1.5069072513822475,0.006557961796626701,0.3604366982081976,0.7862926780208137,0.5126425321056538,0.5045,0.26272392656686977,0.0,0.0
MFI,28,1.5003687581359841,0.011895226690475512,0.35752127178794113,0.785023878180555,0.5090401227908902,0.5075,0.259936506401061,0.0,0.0
MFI,29,1.4967405386415922,0.018914610044084144,0.37160567646446446,0.7983234023206723,0.5046217878862564,0.494,0.25612614082825685,0.0,0.0
MFI,30,1.4914148888238716,0.02638825125940023,0.36144205843902627,0.7821473534495407,0.5023850354164845,0.4665,0.25253713573162384,0.0,0.0
MFI,31,1.4838110410871959,0.0007396324401615022,0.3675598319106471,0.7887404700005178,0.4968886320234598,0.5015,0.24914844554969076,0.0,0.0
MFI,32,1.4840285621657412,0.00016259882497899624,0.3832227554577155,0.7679814028529216,0.493402999481752,0.517,0.2454980220637993,0.0,0.0
MFI,33,1.4805953159239928,0.008789363141457798,0.3868717096356439,0.7639286577061674,0.4911801100643219,0.504,0.2419836857173757,0.0,0.0
MFI,34,1.4797811559349956,0.011070922495172488,0.39928499478539414,0.7553353550785007,0.4858608287504869,0.501,0.23794178366189622,0.0,0.0
MFI,35,1.4741011531561343,0.013278414071193241,0.3954517563479783,0.7527603549244934,0.48500812675307814,0.5065,0.23434789506331516,0.0,0.0
MFI,36,1.4704807924821357,0.018139479279273098,0.3959405425344133,0.7530229001211152,0.482431262475515,0.4925,0.2330258772707665,0.0,0.0
MFI,37,1.4667638136816215,0.008517373333947496,0.40191173320614176,0.7630515312145232,0.47816131374457643,0.529,0.22979658734258882,0.0,0.0
MFI,38,1.4606335233982504,0.02352219700252955,0.3969901666633097,0.7506016097054319,0.4757943767127937,0.5155,0.22723487288851685,0.0,0.0
MFI,39,1.457234808560212,0.031183139998095546,0.4057760330872236,0.7637962917989489,0.4719285236120928,0.49,0.22457803112886382,0.0,0.0
MFI,40,1.452870209737106,0.022511173994582495,0.40847873891179903,0.7501817245272365,0.46838726769597194,0.5055,0.22156572790470375,0.0,0.0
