condition,step,rmse_mean,rmse_sd,rmse_min,rmse_max,distinct_items_mean,n_rep
FIWL,1,1.4006814879100435,0.019067996911386473,1.3727727361156263,1.4318704142415413,194.7,10
FIWL,2,0.9275435945216589,0.017953152265669757,0.90146454646722,0.9579076974428516,194.7,10
FIWL,3,0.8007374936532432,0.010108030921543363,0.785913253903968,0.8158064604295994,194.7,10
FIWL,4,0.714833560021819,0.011113844889374405,0.6990480296069457,0.7298140132120504,194.7,10
FIWL,5,0.6333408427343883,0.012019751122677997,0.6131283742329485,0.6480520181941086,194.7,10
FIWL,6,0.5745357968353364,0.012116836232690838,0.5562350603545005,0.5908212807888369,194.7,10
FIWL,7,0.5269807312808416,0.01160836145467695,0.5094485881232298,0.540529258619253,194.7,10
FIWL,8,0.4893949530941012,0.00851750566330842,0.4762549519052859,0.50080019574393,194.7,10
FIWL,9,0.45771533243753454,0.007461197061906812,0.446739581893786,0.4696876960703877,194.7,10
FIWL,10,0.43243267364757454,0.00824041549596171,0.4170063881922914,0.4454462370614659,194.7,10
FIWL,11,0.4106282636554769,0.007412135071047807,0.3954469818286356,0.4212225636781443,194.7,10
FIWL,12,0.3905567868819197,0.005355228832365596,0.3813415772704195,0.3977760295567795,194.7,10
FIWL,13,0.37600820305509997,0.004970458937260409,0.3669573211727089,0.3827454171440104,194.7,10
FIWL,14,0.36205573252146744,0.005540579111219956,0.3520187865858777,0.3707078430778039,194.7,10
FIWL,15,0.3511376901690947,0.005278807312377081,0.3399472704570276,0.3584067983574151,194.7,10
FIWL,16,0.34085642409264455,0.006062345423580543,0.3285422711403375,0.3493548177614264,194.7,10
FIWL,17,0.32962442230311895,0.005637129683374315,0.317798326103872,0.3381089127884683,194.7,10
FIWL,18,0.3210378975386582,0.005522933330049834,0.3099910580004612,0.3290932466814201,194.7,10
FIWL,19,0.31098653619817085,0.005250445733229132,0.3001521690702565,0.3176584527209352,194.7,10
FIWL,20,0.30298691918403775,0.005231377135043131,0.292700384252441,0.3112307030111012,194.7,10
FIWL,21,0.2955502509866944,0.005252833491598254,0.2860006915305298,0.3037761922427117,194.7,10
FIWL,22,0.2888931409554497,0.0051521307946782455,0.2799649552617558,0.2978109012843877,194.7,10
FIWL,23,0.28269002186855297,0.004868641353331755,0.2747273225740343,0.2902133895485664,194.7,10
FIWL,24,0.2761063540257038,0.004051265688570271,0.2691148962664932,0.2828860131964048,194.7,10
FIWL,25,0.27091513519799454,0.00392657433487153,0.2651748995215043,0.2764244408218723,194.7,10
FIWL,26,0.2655724491551377,0.003297892631891944,0.261498776500646,0.2708905409521971,194.7,10
FIWL,27,0.26098187502786624,0.0030833701051187243,0.2562242371560042,0.2653831757027657,194.7,10
FIWL,28,0.2564977436906083,0.0031364995100711243,0.251506106571635,0.260163469889773,194.7,10
FIWL,29,0.25291218032543594,0.0035092717715311497,0.247561553714824,0.2573493598770023,194.7,10
FIWL,30,0.24959546047765052,0.0033308076402928416,0.2448815743934915,0.2549533195633272,194.7,10
