condition,step,rmse_mean,rmse_sd,rmse_min,rmse_max,distinct_items_mean,n_rep
FIWL,1,1.3955647580744392,0.013541404702440472,1.3817531956858256,1.4088187830892331,198.33333333333334,3
FIWL,2,0.9211867881038458,0.01586977541227518,0.904299104575522,0.9357913425233292,198.33333333333334,3
FIWL,3,0.7961330307590869,0.009303500541495228,0.785913253903968,0.8041103645826887,198.33333333333334,3
FIWL,4,0.7117079771739769,0.010547806704647097,0.7004488855333473,0.7213600679411539,198.33333333333334,3
FIWL,5,0.6291529785581936,0.013953912324357167,0.6131283742329485,0.6386215469465965,198.33333333333334,3
FIWL,6,0.573422599720395,0.015185419076089854,0.5562350603545005,0.5850227493570149,198.33333333333334,3
FIWL,7,0.5263082470600771,0.015213532874614714,0.5096966631570149,0.5395630836366471,198.33333333333334,3
FIWL,8,0.48911339423113076,0.01231449574366404,0.4762549519052859,0.50080019574393,198.33333333333334,3
FIWL,9,0.4591991557879906,0.00967863146133585,0.4506129103292949,0.4696876960703877,198.33333333333334,3
FIWL,10,0.4348726275412082,0.009625818819263872,0.4266184208490635,0.4454462370614659,198.33333333333334,3
FIWL,11,0.41234583313770434,0.007811587605776675,0.4065205136119159,0.4212225636781443,198.33333333333334,3
FIWL,12,0.39019945398856093,0.006774997943250953,0.3847237942462397,0.3977760295567795,198.33333333333334,3
FIWL,13,0.37516041703243425,0.0048405683343105705,0.3713644944626438,0.3806114517309035,198.33333333333334,3
FIWL,14,0.35908272738237307,0.0028107738942122,0.356646502653919,0.3621580033604846,198.33333333333334,3
FIWL,15,0.34971867334038104,0.0035763087459144845,0.3474640626421401,0.3538422317154721,198.33333333333334,3
FIWL,16,0.33860040816407305,0.004639198696775422,0.3344799963844906,0.3436252083976441,198.33333333333334,3
FIWL,17,0.3280810295386627,0.0032931574503192638,0.3249257502712732,0.3314966151865754,198.33333333333334,3
FIWL,18,0.31957681061209203,0.004744392677987364,0.3141434262711978,0.3229001433977587,198.33333333333334,3
FIWL,19,0.3108189372269977,0.005232632520415858,0.3059781983804585,0.3163707406122755,198.33333333333334,3
FIWL,20,0.30078156902939107,0.0037929980081258864,0.297627024402175,0.3049900901027752,198.33333333333334,3
FIWL,21,0.29363697613093404,0.004896883504134888,0.2902742206263584,0.2992551513907657,198.33333333333334,3
FIWL,22,0.28655782321411205,0.004295204392909995,0.2834929700947952,0.2914671991803553,198.33333333333334,3
FIWL,23,0.2804516905091101,0.004373840072128462,0.2774987601679345,0.2854764832824821,198.33333333333334,3
FIWL,24,0.2741715329168304,0.002690023001861235,0.2722723994988987,0.2772497595202401,198.33333333333334,3
FIWL,25,0.26870050348860114,0.0027737428193945583,0.2656524117938743,0.2710763133840118,198.33333333333334,3
FIWL,26,0.264419738804706,0.0021617053519837138,0.2620784684228936,0.2663399137065222,198.33333333333334,3
FIWL,27,0.26094862409816005,0.0028960661530652906,0.2577162973634118,0.2633072476145011,198.33333333333334,3
FIWL,28,0.2570724670042741,0.0035007654828890667,0.2530345962708032,0.2592558983315128,198.33333333333334,3
FIWL,29,0.2538485505113626,0.0049566034047762685,0.2481769001525711,0.2573493598770023,198.33333333333334,3
FIWL,30,0.25093162920644035,0.005333451927831453,0.2448815743934915,0.2549533195633272,198.33333333333334,3
FIWL,31,0.24662693964608828,0.005129566910200237,0.2408573932320773,0.250672190047463,198.33333333333334,3
FIWL,32,0.24307589267480945,0.004106517975385131,0.2384196911234521,0.2461807367909902,198.33333333333334,3
FIWL,33,0.239180409658555,0.00533509157116508,0.2331615433275424,0.2433270051430681,198.33333333333334,3
FIWL,34,0.23559710451706292,0.0055821811910373095,0.2292918509594612,0.2399088602922804,198.33333333333334,3
FIWL,35,0.2328265331089736,0.0053864994700839825,0.2267018000834111,0.2368270417034264,198.33333333333334,3
FIWL,36,0.23025012792090535,0.005893205054876186,0.2235249653665076,0.2345121575187503,198.33333333333334,3
FIWL,37,0.22710514485821895,0.005637991011869292,0.2206596344158508,0.2311206730626152,198.33333333333334,3
FIWL,38,0.22487532713591282,0.00562879445741603,0.2186110464956239,0.2295082732691502,198.33333333333334,3
FIWL,39,0.22215444184745062,0.005011860233180459,0.2165849295901303,0.2263008671387948,198.33333333333334,3
FIWL,40,0.21965037197784676,0.00438387788788063,0.2149054945097494,0.2235502231301392,198.33333333333334,3
MEPV,1,1.2846990269134977,0.013671100300744967,1.2691485874332142,1.2948272994389718,187.0,3
MEPV,2,0.9374620395914842,0.011335067938713595,0.929886632493626,0.950493317700698,187.0,3
MEPV,3,0.7714105447559042,0.01437710466907974,0.7557700078365757,0.7840507034966866,187.0,3
MEPV,4,0.6706409120115926,0.010479461329200395,0.6587867547422604,0.6786723495333455,187.0,3
MEPV,5,0.5961776019404732,0.0018794451533999115,0.5944255596493052,0.5981627105226949,187.0,3
MEPV,6,0.5438118062616035,0.002120855602076515,0.5416890770922543,0.5459307833178644,187.0,3
MEPV,7,0.502316158204165,0.004292458126316342,0.4980149474231057,0.5065998098034894,187.0,3
MEPV,8,0.47159930404709316,0.0004907515234080887,0.4713148600862728,0.472165973648055,187.0,3
MEPV,9,0.4462231585428274,0.0024277691792449433,0.444678836834351,0.4490214896843905,187.0,3
MEPV,10,0.4234061544136401,0.0033374759268723873,0.4195582067071008,0.4255137566913352,187.0,3
MEPV,11,0.4027288985912636,0.005840706059161352,0.3963928096175462,0.4078980251997197,187.0,3
MEPV,12,0.38380429902983026,0.004432600893396941,0.3786873831500492,0.3864668222837144,187.0,3
MEPV,13,0.3699827307529155,0.002340307589786623,0.3672913307079705,0.3715389395955485,187.0,3
MEPV,14,0.3576565885278567,0.0008284179943706449,0.3567643709955312,0.3584014233887205,187.0,3
MEPV,15,0.34971259882376243,0.0021145190016315517,0.3472868664103088,0.3511664158595006,187.0,3
MEPV,16,0.3386649868593104,0.0034551007444054865,0.3355091533651592,0.3423567288999915,187.0,3
