rep,condition,step,rmse,distinct_items,reference,grad_steps,best_val_return
9,MFI,1,1.2836500692468558,199,0.21517307661860532,,
9,MFI,2,0.9478185716323143,199,0.21517307661860532,,
9,MFI,3,0.7691177504626893,199,0.21517307661860532,,
9,MFI,4,0.6685047694394669,199,0.21517307661860532,,
9,MFI,5,0.6122877073272773,199,0.21517307661860532,,
9,MFI,6,0.5587514046428886,199,0.21517307661860532,,
9,MFI,7,0.5156136353472534,199,0.21517307661860532,,
9,MFI,8,0.47764878381649356,199,0.21517307661860532,,
9,MFI,9,0.45097026258091166,199,0.21517307661860532,,
9,MFI,10,0.42732764279674845,199,0.21517307661860532,,
9,MFI,11,0.40733350127227996,199,0.21517307661860532,,
9,MFI,12,0.38533553001871224,199,0.21517307661860532,,
9,MFI,13,0.3744945520178009,199,0.21517307661860532,,
9,MFI,14,0.3645874737220661,199,0.21517307661860532,,
9,MFI,15,0.35156338297747636,199,0.21517307661860532,,
9,MFI,16,0.34498134001827274,199,0.21517307661860532,,
9,MFI,17,0.3338686781998372,199,0.21517307661860532,,
9,MFI,18,0.3249222519066154,199,0.21517307661860532,,
9,MFI,19,0.3146752264239524,199,0.21517307661860532,,
9,MFI,20,0.3080974222847371,199,0.21517307661860532,,
9,MFI,21,0.3009095101602097,199,0.21517307661860532,,
9,MFI,22,0.29242079110357777,199,0.21517307661860532,,
9,MFI,23,0.28328223545591474,199,0.21517307661860532,,
9,MFI,24,0.2776424688965628,199,0.21517307661860532,,
9,MFI,25,0.2714035757759268,199,0.21517307661860532,,
9,MFI,26,0.26601265565213994,199,0.21517307661860532,,
9,MFI,27,0.2602806456801106,199,0.21517307661860532,,
9,MFI,28,0.2549343863658792,199,0.21517307661860532,,
9,MFI,29,0.24951713407033774,199,0.21517307661860532,,
9,MFI,30,0.24677662308303397,199,0.21517307661860532,,
9,MFI,31,0.24444587566706888,199,0.21517307661860532,,
9,MFI,32,0.23846525382355027,199,0.21517307661860532,,
9,MFI,33,0.23581644104771715,199,0.21517307661860532,,
9,MFI,34,0.23285147524519764,199,0.21517307661860532,,
9,MFI,35,0.23022515687331338,199,0.21517307661860532,,
9,MFI,36,0.22653146522005027,199,0.21517307661860532,,
9,MFI,37,0.2249291365595047,199,0.21517307661860532,,
9,MFI,38,0.22230840852521927,199,0.21517307661860532,,
9,MFI,39,0.2202280264939871,199,0.21517307661860532,,
9,MFI,40,0.21809664469966744,199,0.21517307661860532,,
9,FIWL,1,1.4281452585338557,193,0.21517307661860532,,
9,FIWL,2,0.9383204629813697,193,0.21517307661860532,,
9,FIWL,3,0.8158064604295994,193,0.21517307661860532,,
9,FIWL,4,0.7270753817722206,193,0.21517307661860532,,
9,FIWL,5,0.6480520181941086,193,0.21517307661860532,,
9,FIWL,6,0.5878757571742965,193,0.21517307661860532,,
9,FIWL,7,0.5362749514732352,193,0.21517307661860532,,
9,FIWL,8,0.49720292352373135,193,0.21517307661860532,,
9,FIWL,9,0.46648759100667325,193,0.21517307661860532,,
9,FIWL,10,0.43762946009951875,193,0.21517307661860532,,
9,FIWL,11,0.41754887899011633,193,0.21517307661860532,,
9,FIWL,12,0.3938156109914839,193,0.21517307661860532,,
9,FIWL,13,0.3804725289646366,193,0.21517307661860532,,
9,FIWL,14,0.3693187285563281,193,0.21517307661860532,,
9,FIWL,15,0.35726349962801324,193,0.21517307661860532,,
9,FIWL,16,0.34935481776142646,193,0.21517307661860532,,
9,FIWL,17,0.33810891278846833,193,0.21517307661860532,,
9,FIWL,18,0.3290932466814201,193,0.21517307661860532,,
9,FIWL,19,0.3176584527209352,193,0.21517307661860532,,
9,FIWL,20,0.31123070301110123,193,0.21517307661860532,,
9,FIWL,21,0.3037761922427117,193,0.21517307661860532,,
9,FIWL,22,0.2978109012843877,193,0.21517307661860532,,
9,FIWL,23,0.29021338954856646,193,0.21517307661860532,,
9,FIWL,24,0.28288601319640483,193,0.21517307661860532,,
9,FIWL,25,0.27642444082187234,193,0.21517307661860532,,
9,FIWL,26,0.2708905409521971,193,0.21517307661860532,,
9,FIWL,27,0.26538317570276576,193,0.21517307661860532,,
9,FIWL,28,0.26016346988977307,193,0.21517307661860532,,
9,FIWL,29,0.2550888561834413,193,0.21517307661860532,,
9,FIWL,30,0.25061330093913026,193,0.21517307661860532,,
9,FIWL,31,0.2484941935022118,193,0.21517307661860532,,
9,FIWL,32,0.24414667844558843,193,0.21517307661860532,,
9,FIWL,33,0.24104124502294486,193,0.21517307661860532,,
9,FIWL,34,0.2389948892710286,193,0.21517307661860532,,
9,FIWL,35,0.2359299471078294,193,0.21517307661860532,,
9,FIWL,36,0.23270373042572126,193,0.21517307661860532,,
9,FIWL,37,0.23066012310832362,193,0.21517307661860532,,
9,FIWL,38,0.22690849095274085,193,0.21517307661860532,,
9,FIWL,39,0.22414432309308846,193,0.21517307661860532,,
9,FIWL,40,0.2218645536771717,193,0.21517307661860532,,
9,MPWI,1,1.301821410662838,181,0.21517307661860532,,
9,MPWI,2,0.947371442839898,181,0.21517307661860532,,
9,MPWI,3,0.7562682918193242,181,0.21517307661860532,,
9,MPWI,4,0.6494992131965018,181,0.21517307661860532,,
9,MPWI,5,0.5857924789101218,181,0.21517307661860532,,
9,MPWI,6,0.5369129993881598,181,0.21517307661860532,,
9,MPWI,7,0.49680595068737715,181,0.21517307661860532,,
9,MPWI,8,0.46036228113417144,181,0.21517307661860532,,
9,MPWI,9,0.43390321977602053,181,0.21517307661860532,,
9,MPWI,10,0.41379223207903343,181,0.21517307661860532,,
9,MPWI,11,0.395012885709893,181,0.21517307661860532,,
9,MPWI,12,0.3781306925461629,181,0.21517307661860532,,
9,MPWI,13,0.3669381419174259,181,0.21517307661860532,,
9,MPWI,14,0.35555115769819884,181,0.21517307661860532,,
9,MPWI,15,0.3444832727496523,181,0.21517307661860532,,
9,MPWI,16,0.33747216679881,181,0.21517307661860532,,
9,MPWI,17,0.32697201639890366,181,0.21517307661860532,,
9,MPWI,18,0.32002467654943617,181,0.21517307661860532,,
9,MPWI,19,0.3075102665693415,181,0.21517307661860532,,
9,MPWI,20,0.2997175839538249,181,0.21517307661860532,,
9,MPWI,21,0.29299941275119745,181,0.21517307661860532,,
9,MPWI,22,0.28643719507348675,181,0.21517307661860532,,
9,MPWI,23,0.27989919256143253,181,0.21517307661860532,,
9,MPWI,24,0.2746972720332227,181,0.21517307661860532,,
9,MPWI,25,0.2710014172785801,181,0.21517307661860532,,
9,MPWI,26,0.2661238702142617,181,0.21517307661860532,,
9,MPWI,27,0.26210944753881327,181,0.21517307661860532,,
9,MPWI,28,0.25646398203301535,181,0.21517307661860532,,
9,MPWI,29,0.2523797050550909,181,0.21517307661860532,,
9,MPWI,30,0.24825068647312074,181,0.21517307661860532,,
9,MPWI,31,0.2458174958708515,181,0.21517307661860532,,
9,MPWI,32,0.24152637111393177,181,0.21517307661860532,,
9,MPWI,33,0.2389335150103009,181,0.21517307661860532,,
9,MPWI,34,0.2363973016854707,181,0.21517307661860532,,
9,MPWI,35,0.23311800406864308,181,0.21517307661860532,,
9,MPWI,36,0.22939718340824197,181,0.21517307661860532,,
9,MPWI,37,0.2252731908524667,181,0.21517307661860532,,
9,MPWI,38,0.22134871696845454,181,0.21517307661860532,,
9,MPWI,39,0.2185734484552719,181,0.21517307661860532,,
9,MPWI,40,0.21605974509602946,181,0.21517307661860532,,
9,MEPV,1,1.301821410662838,183,0.21517307661860532,,
9,MEPV,2,0.947371442839898,183,0.21517307661860532,,
9,MEPV,3,0.7562682918193242,183,0.21517307661860532,,
9,MEPV,4,0.6494992131965018,183,0.21517307661860532,,
9,MEPV,5,0.5868493637714889,183,0.21517307661860532,,
9,MEPV,6,0.5327872043105248,183,0.21517307661860532,,
9,MEPV,7,0.49826908375672885,183,0.21517307661860532,,
9,MEPV,8,0.45993272260868406,183,0.21517307661860532,,
9,MEPV,9,0.43426146904904306,183,0.21517307661860532,,
9,MEPV,10,0.4120477654827082,183,0.21517307661860532,,
9,MEPV,11,0.3955301659819879,183,0.21517307661860532,,
9,MEPV,12,0.3775306797280744,183,0.21517307661860532,,
9,MEPV,13,0.3685863670005312,183,0.21517307661860532,,
9,MEPV,14,0.35763886660555744,183,0.21517307661860532,,
9,MEPV,15,0.34643512841572455,183,0.21517307661860532,,
9,MEPV,16,0.3408369138508809,183,0.21517307661860532,,
9,MEPV,17,0.32971803960960966,183,0.21517307661860532,,
9,MEPV,18,0.3221828488228947,183,0.21517307661860532,,
9,MEPV,19,0.31215032024919764,183,0.21517307661860532,,
9,MEPV,20,0.30590113658623636,183,0.21517307661860532,,
