method,step,a_mean,b_mean,abs_b_minus_theta_mean,slope_b_on_prev,fi_true_mean,p_correct,rmse_post,extreme_frac,extreme_share_of_sq_error
DQN,1,1.8559660252335173,-0.40291792423682343,0.8500734572847701,0.010944878266035803,0.5260097514048075,0.621,1.2712236723091952,0.0,0.0
DQN,2,1.9945537642746982,0.325642452876185,0.7808363813073573,0.6871744313612916,0.6006664123404791,0.392,0.9665734136622105,1.0,1.0
DQN,3,1.7620602895445159,-0.043521224463139274,0.592505924700357,0.6541086724532341,0.5845552229284885,0.532,0.7919186408532892,0.336,0.5761076018963457
DQN,4,1.7449880935407134,0.052264552468003586,0.5294953483207487,0.6521017992861217,0.6004797213155406,0.492,0.675975359958158,0.1345,0.30246645758336416
DQN,5,1.7012212098738773,0.05713980776397664,0.5089793292747857,0.7010929216383299,0.5796054939023513,0.49,0.5987923427308678,0.061,0.16337375824396952
DQN,6,1.691768643959584,0.06314268784736074,0.4986370846696673,0.7674987915275514,0.5765529364906713,0.4805,0.5520556984298998,0.0375,0.09477625517434977
DQN,7,1.6544316214451398,0.061904158032533095,0.45042137117698655,0.7506882673798647,0.5735435465142836,0.47,0.5151757877838306,0.022,0.057199694154735546
DQN,8,1.6470026592882623,0.02900530086189947,0.4400736921553616,0.7992135382148989,0.5725791931769278,0.5045,0.48044321768454584,0.01,0.03589652473938022
DQN,9,1.6295496747494307,0.026476085195665584,0.4010312539865691,0.7707444806253144,0.5780179678605764,0.4905,0.4534205019905114,0.0065,0.02952535098190487
DQN,10,1.6220351489904197,0.014794762650407212,0.4057496740693145,0.7751653037483925,0.5721638725440839,0.4945,0.43019522884840766,0.0035,0.012583073773226613
DQN,11,1.6033814472009833,0.02360586635223064,0.3789504659167312,0.8016587385731656,0.5678436264495617,0.511,0.40927188687382515,0.0015,0.003257390700022833
DQN,12,1.6054213511177178,0.0013503168288662923,0.3817885216823508,0.7638579692659959,0.5692989692598607,0.497,0.3883647332502726,0.001,0.001670472525031416
DQN,13,1.599387638861574,0.012607659415589495,0.3838833104674801,0.792374647838145,0.5631412005468769,0.4995,0.372008526964724,0.001,0.00733898264701553
DQN,14,1.5910761587581714,0.021539802503670977,0.3648514549572288,0.7924459997456804,0.5636582855014438,0.4815,0.3550455633252424,0.0,0.0
DQN,15,1.5826063626298523,0.019293827415750687,0.3611957298247349,0.7882424486777734,0.5596557917450936,0.4985,0.3465355655017348,0.0,0.0
DQN,16,1.5737476027246835,0.0271923407610546,0.36960900549234693,0.7837709490733289,0.5514008756455837,0.5155,0.3378259361026925,0.0,0.0
DQN,17,1.5613974761302971,0.04648254711552087,0.3680066456277725,0.7819942890120859,0.5446941777516184,0.489,0.32785810352250366,0.0,0.0
DQN,18,1.5555053065593467,0.04221003739326826,0.36037386828586615,0.7810808587974155,0.5421551678884671,0.501,0.31682905870529626,0.0,0.0
DQN,19,1.5492723452265358,0.04602398885343227,0.3651376637361411,0.7722032447617561,0.53694802503324,0.4945,0.3081065018050747,0.0,0.0
DQN,20,1.5433798450424154,0.05828033705606522,0.36783938848678427,0.8016122253601468,0.5319019776554419,0.4935,0.29997610307598255,0.0,0.0
DQN,21,1.5357741386535522,0.05082689146995216,0.37128542901216904,0.7736843903442011,0.5273137751156418,0.493,0.2933893356838925,0.0,0.0
DQN,22,1.5304467893290734,0.05021429324385252,0.3880265418332044,0.7759711792465387,0.5190466522695983,0.4745,0.287304084227972,0.0,0.0
