step,prec_gain_mean,prec_gain_sd,prec_gain_neg_frac,logvar_mean,logvar_sd
1,0.48308684832291643,0.061318703845548134,0.0,0.3929971809159944,0.04087982904508856
2,0.5507362983290817,0.08005466649962911,0.0,0.31521086911354546,0.041362960581696945
3,0.5571452409373452,0.13579265025567375,0.0,0.2412568414211661,0.05334944059618263
4,0.547181956111467,0.18409171600150742,0.0015,0.1898952748155619,0.05942644207867502
5,0.5818244211183359,0.18708985510996404,0.0,0.16952709091946433,0.0533142607357809
6,0.5770953496491896,0.18349630544186654,0.0,0.143948879912868,0.045504301496084296
7,0.5820241683531825,0.17850861349239072,0.0,0.1270859904336067,0.03961321698876798
8,0.5854229775057592,0.17868761486735169,0.0,0.11331923671236915,0.03522279082312903
9,0.5824240642284161,0.17421301402267425,0.001,0.10126816682285557,0.030720681988480533
10,0.576236113333483,0.16634841965675418,0.0,0.090932496418298,0.026163547480182417
11,0.5804031482951891,0.16401759497050414,0.0,0.08409652604968548,0.02434994985973178
12,0.5778270035827386,0.15822572976973215,0.0,0.0772315345893441,0.02158740345294723
13,0.5739191636690882,0.155385019132017,0.0,0.0712671052500824,0.019947551656159822
14,0.5678730825704096,0.1525822423066457,0.0,0.06583431999198294,0.01828070812006747
15,0.5659658875941577,0.14634457889734573,0.0,0.06151659750905251,0.016095415638531365
16,0.5619803199146904,0.14338013894340088,0.0005,0.05760546778286156,0.015259201899266758
17,0.5504582604164026,0.14072354112306046,0.0005,0.05328587637721726,0.013754655127409322
18,0.5492047176080885,0.13607200033602004,0.0,0.05049447875296123,0.012552698629001019
19,0.5488993480440086,0.13606312207041207,0.0,0.04807758452783679,0.012285937564489065
20,0.5402533613578153,0.12904222654377043,0.0,0.04512790664569421,0.010840765533713135
21,0.5339797437261251,0.12976331752631518,0.0,0.04263732875402419,0.010341640960039035
22,0.5325411623676777,0.12633063260449878,0.0,0.040835969193218837,0.009996286256265436
23,0.5257108662211598,0.13086169832401548,0.0015,0.038634593896827385,0.009899735650495747
24,0.5233373867036107,0.12333735195616953,0.0005,0.03711164646353839,0.00905299278651851
25,0.5172267422254162,0.12480363668348349,0.0005,0.03528358111363127,0.008510185698013158
26,0.5183100884147321,0.12364391905027593,0.0,0.03418096146754191,0.008189613534804548
27,0.5162573001895404,0.12339157998057883,0.0,0.032934157209326693,0.008024218656409156
28,0.5098362849925985,0.12376225431962197,0.0005,0.031420121473327234,0.007489040002172941
29,0.5086711797745267,0.12240482539323977,0.001,0.0304083745635483,0.007388577338687235
30,0.5013270255995851,0.11912582624909221,0.001,0.02912791506251565,0.00718150869026229
31,0.4980288994431245,0.11980162315479125,0.0,0.02810467187591251,0.007013946234287348
32,0.49704476171269446,0.1199820066835867,0.0005,0.027333720725319158,0.007398783918084191
33,0.49338255405752074,0.11830057861484028,0.0,0.026366115291783395,0.0065723216778678616
34,0.48945294786023774,0.11765062545649814,0.0005,0.025438565509008037,0.006297178179078516
35,0.4840560113680839,0.11579020869655332,0.0,0.024564338001618318,0.006073574588218985
36,0.4825660823270702,0.11611175918975007,0.0,0.023909057727805483,0.006020441457737684
37,0.47921209275230503,0.11408830722265653,0.0005,0.023171549407844293,0.005715639116816452
38,0.4708073781022726,0.11434574813460405,0.0,0.022245004182062395,0.0055794708753563885
39,0.4717481097631506,0.1116048087326236,0.0,0.02179487618869292,0.005212331880737757
40,0.46936434627122753,0.11430541072758123,0.0015,0.02125125881192246,0.0055501163144434165
